,Year,Emissions,GDP_per_capita,Renewable_Share,Energy_per_capita,Population,Emissions_per_GDP,Emissions_per_capita,Global_Temperature
count,594.0,594.0,428.0,563.0,579.0,440.0,374.0,374.0,594.0
mean,1996.5,5343.073124824921,21070.233780373834,5.123263226772957,35772.37516576856,944407087.6681818,0.47827779121178143,10.859393799332265,0.4530648148148148
std,15.59892005601659,10698.553327598926,17780.2822474218,3.8747341173506853,27746.693605449032,1862385035.8226166,0.2529346536101349,6.372930554480047,0.31588839949465464
min,1970.0,80.469656317337,274.623,0.0,861.0434,6047997.0,0.13035990517317,1.589485562941,-0.0992
25%,1983.0,615.4627223049625,5739.19175,1.8754116,8847.1335,67871489.0,0.320076401658395,5.93206324790045,0.18
50%,1996.5,1291.8897395977,15623.595000000001,4.723572,34628.117,138510270.0,0.431927869682935,10.566242515833501,0.42374999999999996
75%,2010.0,3607.441815440225,32629.5635,7.1008995,54525.3125,1019826310.0,0.5454761104460675,14.91382379012225,0.6608
max,2023.0,52962.900858703,82715.1,24.394201,98110.68,8061876001.0,2.0751134703403,25.694218408093,1.1692
