EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,0.62159105842209,0.69882456195571,0.87551387046318,0.952141939022,0.93560321879987,1.1662872951201,1.1519594126735,1.3355858523829,1.4222966358693,1.4920200379631,1.5552351728234,1.5960938809033,1.5610119542148,1.5839463864309,1.8006457877165,1.8847620398035,2.0515610223386,2.3199847193426,2.5807196857019,3.4877856462592,3.5395833771353,3.8150040985898,3.9814843251782,3.7684598107726,4.0252652100628,4.2129389131473,2.7556460591973,4.3116885085099,4.3253497340552,4.2976340421046,3.8286609073191,3.7758074274125,3.9596924614088,4.3955828745002,4.464145033334,4.7772626360197,4.8329294955455,5.1607891514134,5.0795150972698,5.4232004343354,5.1965823132077,3.3349748163721,3.9500120167528,4.2646430890425,4.5230349654459,4.7056310576854,4.9086972592824,4.7132973744582,4.6894285915417,5.5538070180217,4.5299605532014,4.9645001096903,4.9869447451287,5.199051894019
AFG,Afghanistan,1.3874969902663,1.3456250160117,1.1360469017661,1.1585556040094,1.2318193739248,1.2583543151794,1.2416629786035,1.2311624531918,1.1814950861867,1.1622332960939,1.1599639442142,1.1885057006037,1.2169570974702,1.2473218944344,1.1939753273458,1.214088151839,1.0861265072554,1.0870103594238,1.1051182867734,1.0490647645539,1.0255121179701,0.97150170341881,0.83284938166515,0.77811814187142,0.72768872714637,0.70110188032148,0.74201458766637,0.77511194201508,0.79910187444819,0.82706698517764,0.69253560289483,0.58218853214446,0.67138557798624,0.66495559657951,0.6342495485622,0.62109640973853,0.60885691599124,0.6333235519694,0.73705197193063,0.82356098389612,0.93520883428913,1.0440294841533,0.94123811587064,0.85890123942092,0.8370514775127,0.81242368868932,0.76852488848633,0.77939344673542,0.7575165173759,0.72516787599439,0.70020657948354,0.71036322029688,0.71930797446348,0.72474235798779
AGO,Angola,2.8036743758363,2.7234476330816,3.0245971354915,3.1628286855357,3.1688983017986,2.9312941219515,2.3523912674653,2.859556894719,3.0320147267159,2.9987652591922,2.953449933325,2.6997279145288,2.6301429292479,2.709829685124,2.6998473946195,2.7711813870066,2.8202687619972,2.9119114199719,3.0323496566616,2.9831040141447,2.6241875955119,2.5231572311835,2.35789295173,2.5740846815093,3.2835252560835,3.6864701728323,4.3162425245877,4.3782273867845,4.5913173081101,4.5060983367206,4.0766167846623,3.8178506070692,3.5854697330727,3.4710717508918,3.6247759517791,3.3984648437334,2.9235618000114,2.7431826640041,2.8070966665686,2.775225734991,2.9783337674894,2.8295643265934,2.8138286108826,2.8926387079649,2.8712579370769,2.9352866236714,2.737462976783,2.465213416413,2.2585356248792,2.1993137789668,1.8789206312242,1.900306671284,1.9209683808006,1.8748997825394
AIA,Anguilla,0.52398120452104,0.52642321292351,0.54356233643424,0.52034422914029,0.56007327091643,0.59857577119049,0.57550932251701,0.59221171965531,0.6488467708482,0.69761737067192,0.88511935419491,1.2359259121457,1.3146315177588,1.1750445641926,1.1248221129954,0.77319192894075,0.67818218873655,1.0795033625201,0.98857684868307,0.99092017905799,0.94823775190311,1.0919396360387,1.0954383630354,1.2922053180658,1.6029905920994,1.9109747418004,1.8477286200036,1.5411474040813,1.3980778073174,1.3033114772743,1.6153794629054,1.6191943879977,1.1336013897544,1.3839318907103,1.3004043058863,1.2896076730189,1.1992379357489,1.1417003903918,1.3676630939588,1.7039958637664,1.9690237206955,2.0924801115708,2.0692387428115,2.1840249749211,2.1585131055992,2.1445612268407,2.1490430447693,2.178249084253,2.0999816446749,2.0395239448434,1.7036616858802,1.68161827578,1.671226508889,1.6381720137424
ALB,Albania,3.8244444303517,3.7106149644325,4.0396831358297,3.7230849449648,3.7542635170298,3.7463799543972,3.9134956619955,4.0513864101593,4.3638880987374,4.7142209587987,4.691931275862,4.241351422999,4.3913715126988,4.6067870142696,4.6213499124226,4.3724447708411,4.3395951801024,4.3199970125672,4.1849505919462,4.085297097012,3.5024594930163,2.7587358609369,1.8984744506921,1.9406255676421,2.1929527181871,2.1017131331816,2.0252813664481,1.7814122989192,1.8590060935497,2.2403436239872,2.2997451359549,2.3595108227286,2.5615119074864,2.6288430256358,2.7074911234265,2.5907544834001,2.6266678669521,2.6379815781566,2.5943970657448,2.6127448264894,2.7369988824426,2.8972139675762,2.7942763050754,2.8861146576019,3.0470442864456,2.9896984507362,2.8556125409992,3.1274623573943,3.1191926171349,2.9330624802819,2.7081115968093,2.8516478643967,2.6508387406108,2.6038926138513
ANT,Curaçao,104.95061133868,103.64759659608,99.566262151844,109.0191689239,97.995310754782,70.423502751439,74.919611132602,76.092260332708,64.992032104835,64.571907441959,61.377759039875,56.806124702391,51.353913968117,47.975973569477,46.611565466214,31.157658207413,29.812304396244,27.811245793375,24.569886829248,21.252279957395,19.385775090777,20.144945208347,21.092230596744,17.542127724012,19.744132668981,19.961858911712,20.441035667029,39.5745510329,41.731829631231,42.16819306493,44.558230153101,45.17408954827,43.664493281216,44.025634345095,45.686368931036,47.436067896778,45.459389430914,47.848338108139,45.994414018458,42.270374692999,30.081048287667,37.941184124907,37.914431705777,34.426164950583,37.514109661976,37.5734160284,32.388276593211,25.9208826865,20.852210744966,16.059378275758,13.114852737091,14.234266112027,14.664364258492,15.253881397741
ARE,United Arab Emirates,126.39553267656,128.44416253635,118.62668691298,127.59902997177,110.75002051525,95.740540504209,99.445727939267,87.394144865301,83.190259463166,59.212356071112,56.413649625679,48.098475579985,43.637316839697,39.731662752012,47.781202032313,46.825941696986,44.239560364641,44.032171624165,41.148257210588,43.919365619574,42.735553558615,44.608437625777,41.892632162801,42.605652468811,42.486281771547,42.462454989527,42.428264136642,41.063346786091,39.441885763221,38.383357182619,37.159586707052,39.011595869642,37.444129802418,37.259375850144,35.730592780283,33.962595381495,30.969275974451,28.599094049549,29.069447807882,26.286102789692,25.356193984418,25.068399787506,25.475378856867,26.477265620524,26.662676724011,27.745375237823,28.263681886408,27.033301266513,25.002410460651,25.985157751225,25.407053413978,25.859402312656,26.601026637717,26.290683595353
ARG,Argentina,9.1568790639366,9.1457259466605,9.2753342152204,9.4305587640068,9.2848687437788,9.1550549285594,9.3320518444024,9.5855327725294,9.1782291258494,9.255777541383,8.9527102026061,8.6127105956028,8.3653409711825,8.4417352154632,8.3516066830906,7.947923855571,8.0156883586009,8.0276202727575,8.1771303876324,8.032817939937,7.754315990821,7.762432346624,7.7163706200777,7.6692995259586,7.7325055670484,7.7121029942048,7.8224834775127,7.8657445719634,7.8805116797356,7.9584018157356,7.7787221287088,7.5843276894731,7.4819903657958,7.9631236700192,8.3625801269377,8.3568676840277,8.6071215686476,8.7421342458046,8.6891891899374,8.0302138759633,8.0406679447381,8.1104644458292,8.1938320398199,8.3071525554296,8.2031285989912,8.2568355142614,8.2384575340704,8.2327877789233,8.1411555792578,8.0024829460159,7.6314947824555,8.0065770668058,8.091749016095,7.8293321904487
ARM,Armenia,5.0185156035196,4.9594904356826,5.1458981255541,5.4071495046975,5.6558162775292,5.9810032148704,6.0144809235019,6.1056354679782,6.2291552644133,6.3373086671565,6.5945769005388,6.6321169325598,6.7200630531651,6.6473413658875,6.5661171772052,6.4847864766321,6.4457535098371,6.407671176924,6.2914521311271,6.1242822787472,6.8714935908371,7.112003785912,4.0704173914469,2.295586524658,1.6263970474332,1.8725445528034,1.5994998124917,1.8414614780427,1.8660226783631,1.7566997691538,1.9358881495569,1.9941600641224,1.8585435141328,2.0178943846308,2.1906191692561,2.4557079136795,2.4650352837313,2.75174493371,2.9387862616967,2.5124769650761,2.4343218032732,2.6539824637841,2.9501643754301,2.9513822479883,3.061091936858,3.0250433981062,2.9593186079107,3.0261920492449,3.0656712674452,3.2251974311887,3.4007242654615,3.6297198682843,3.5253531359083,3.6870830046509
ATG,Antigua and Barbuda,2.3602752211144,2.4176454555055,2.6871959977861,2.6756580088201,2.4468091544599,2.7652310664365,2.5736079738143,2.7440410936335,2.7952047960125,2.8613868167881,2.9111167796406,2.6978370385391,3.1889170157336,2.3402551181415,2.6449446222514,2.7410833606571,2.8663030172719,3.4299637385669,3.6425342947038,3.6618749278294,3.6927300135025,3.6836411521935,3.6482298609696,3.5282861249429,3.6730068829586,3.701088517916,3.5829076533183,3.6378089800884,3.6114938058681,3.5676099545521,2.6936076310042,2.6168121388283,2.7861223092567,2.9174003942056,2.926449831848,2.966120738766,3.1927374152931,3.3559911196829,3.5062408901034,3.8132355477377,3.6641837253278,2.9128237413855,3.0279139388377,3.3393459949195,3.5131188645824,3.5919879540527,3.80103164211,3.389124787841,3.5271071192187,3.9125185262133,3.247205463716,3.5004630536232,3.4791558026971,3.5977423284932
