EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,0.10128885844549,0.10514203063985,0.10942828047154,0.10255866632734,0.10710098221949,0.11447496287217,0.076649135854513,0.11506706502626,0.11559565354885,0.11569659172135,0.097759311091014,0.094622726855382,0.10243565315103,0.1148604963181,0.1106497055131,0.12042396125186,0.12143367286678,0.12626940048728,0.122200855095,0.14786512821239,0.14597823080843,0.09097221235119,0.10944165595594,0.1116790755513,0.12106431971247,0.12740882457648,0.13126247246431,0.11823495198809,0.1153427598522,0.14032998921664,0.15111749783639,0.13043625559138,0.11862027638072,0.11853869294905
AFG,Afghanistan,0.23547885749914,0.26567757602299,0.24117580351979,0.3242202279234,0.41787743982257,0.28391178729277,0.33061576527492,0.37549294022879,0.41616235046844,0.46564889567325,0.42728870488196,0.41383947583574,0.38904431917461,0.37152484419094,0.36539675435712,0.33438871209235,0.32134040782879,0.30185482753739,0.34662667393185,0.32736508916098,0.3343318879342,0.38333256129094,0.31670202545732,0.28289481605264,0.27706632655301,0.27298521383807,0.25940943649686,0.2627582155906,0.25837005166089,0.24349577613105,0.24624911740679,0.32230226443573,0.3558277927953,0.38320911556956
AGO,Angola,0.37165864474242,0.36494741313857,0.37416000356745,0.55537895101571,0.72190650927382,0.72655774518756,0.77090382983386,0.7491407898658,0.77105292378612,0.76186565121398,0.68941460417462,0.64003436803682,0.5471608047505,0.53278739413135,0.51971424728281,0.43902018371156,0.35085930557602,0.29923565818409,0.28543259721861,0.28994495194888,0.30888863606017,0.29392201597456,0.27904283254939,0.28314107487242,0.27762866435552,0.29097188119393,0.28808917955621,0.26857319973016,0.25762668545884,0.26096497367016,0.24399815213934,0.25177406715169,0.25496184288007,0.25464058974514
AIA,Anguilla,0.028943086202706,0.045075445589747,0.035440750581747,0.041588715368243,0.051702782089828,0.063176828740636,0.064996455447517,0.055839456605001,0.045075948332325,0.039613326010843,0.052983232548109,0.055059779277128,0.044559808999908,0.047258866331117,0.040251790178382,0.033853794996889,0.03033563519897,0.024910867246735,0.030102177726937,0.053210507921609,0.064449337969699,0.069479322037741,0.075213797795009,0.093407314832639,0.098222600435642,0.11391775472298,0.12759707168175,0.15061848177579,0.19067219593226,0.12442352556589,0.1117268151143,0.10250276161269,0.089841783764237,0.082969571137111
ALB,Albania,0.65025454608172,0.71007357251416,0.52088932759328,0.47834602769913,0.49143658364392,0.41114007492346,0.36144637330085,0.35699029689758,0.34350182178791,0.36809089732023,0.35403365122834,0.33546434966627,0.34800248588235,0.33756868012014,0.32809276615916,0.2957218138064,0.28082533142128,0.2634623179737,0.23846051896193,0.23010000636484,0.23069234004482,0.23701158380518,0.22488634163945,0.22988973607279,0.23862378781171,0.22925238279451,0.21216214951915,0.22414136126108,0.21521673918174,0.19851023912493,0.18977703865388,0.18361207347547,0.16294312024213,0.15473581553175
ANT,Curaçao,0.8396222973639,0.84950951261678,0.87317132884355,0.71599367658732,0.77928982123699,0.75757104532037,0.74016186407634,1.3509970916769,1.3444826687295,1.2729477656372,1.2881984960884,1.2970139984123,1.2348339129656,1.2336829046104,1.278913853184,1.3317029146303,1.2799678254765,1.3506424862375,1.3101931683403,1.2469546251032,0.90928438283127,1.1641526406591,1.1859483840896,1.097256189838,1.2159096950984,1.2238807615856,1.0755557400778,0.87830286054546,0.72640888918746,0.58144594602715,0.58271934007945,0.6088393983809,0.58485682015357,0.54060293245402
ARE,United Arab Emirates,0.38756303505224,0.42478670347764,0.40886223722234,0.43440920489706,0.42751084702944,0.42114687894603,0.4175930150737,0.39230469100397,0.39493807387587,0.39324173741886,0.3625994255601,0.39577863961718,0.39105571128199,0.38158458669329,0.36485955465898,0.37052451461004,0.35210561433393,0.36333744289959,0.40823360580135,0.43320005515831,0.44370138652792,0.43305691834399,0.44356316519734,0.44403932082962,0.43234635734279,0.42518447223828,0.41547637733144,0.4000454345463,0.3706893654913,0.38664618153818,0.40314666240511,0.39816306805107,0.38450758867182,0.37211468897577
ARG,Argentina,0.45546256117494,0.42370807439457,0.39564380430039,0.36832629103762,0.35548370598642,0.3695402245817,0.359511344512,0.33828919187737,0.33007111850532,0.34888361030783,0.34755839644058,0.35846259436988,0.40128780656565,0.39676483731555,0.38634319291975,0.35850099695882,0.34534551427414,0.32512359420421,0.31375727214604,0.3113860786982,0.28606980203498,0.27506886095444,0.28374262930405,0.28386744884096,0.29052239254127,0.287539676583,0.29589398450996,0.29036305592219,0.29763163762407,0.30129360497788,0.32178757080809,0.30762580106179,0.29879727520924,0.29615230911043
ARM,Armenia,1.1151708110173,1.2949799533084,1.250780509447,0.75555782516808,0.49588206103829,0.52329315858394,0.41577791574111,0.4581508175255,0.42930522278822,0.38876859780432,0.40201067579429,0.37550888883128,0.30746378438434,0.29127649932557,0.28453079630002,0.2782311060226,0.24483720103374,0.23831498459865,0.23606944565507,0.23336614244498,0.22037641145792,0.22933866732026,0.23833461973989,0.23174433291577,0.23302567758172,0.22396482543533,0.21925139678865,0.2089651377108,0.2014816448596,0.19716589769451,0.22417677556494,0.2262568934369,0.19516096083375,0.18771368997528
ATG,Antigua and Barbuda,0.18527058501086,0.18253419731997,0.18168280581245,0.17058237577367,0.17070518812866,0.18461531294712,0.17222235962976,0.17041832008069,0.16593136003509,0.16197404441545,0.11761667295465,0.12181738970094,0.13020513060025,0.1300597491722,0.12471210230151,0.12005680232021,0.11600483578926,0.11287973190213,0.11936589878575,0.1492162103255,0.15737747796872,0.12903206440864,0.13118813003328,0.14713040733707,0.15306481876747,0.15590680283785,0.16013221458027,0.14079438009901,0.1383946867347,0.15039472777702,0.15538898550267,0.15613625939341,0.1430378324975,0.14374420465319
